date,date_str,annee,mois,zone,cote,swh_mean,swh_min,swh_max_value,swh_std,swh_max_absolu,n_points,etat_mer_satellite,score_risque_vague
2017-11-02,2017-11,2017,11,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.6291949240148493,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-11-02,2017-11,2017,11,ANTALAHA A TOAMASINA,EST,1.3957405917518475,1.0635286542741875,1.5975175517033267,0.14588395868486576,2.3877866937941086,8,Agitee,2.8
2017-11-02,2017-11,2017,11,TOAMASINA A MANANJARY,EST,4.153837486827862e+36,1.5248060453041767,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-11-02,2017-11,2017,11,MANANJARY A TAOLAGNARO,SUD-EST,4.153837486827862e+36,1.6399466221720524,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-11-02,2017-11,2017,11,NOSY BE ET ENVIRONS,NORD-OUEST,0.7907648190073321,0.6291949240148493,1.0145244718302915,0.1412071318741775,1.5048113583772413,4,Peu agitee,1.6
2017-12-02,2017-12,2017,12,CAP D'AMBRE A TOAMASINA,EST,2.4923024920967173e+36,1.4406199437513119,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,16,Tres forte,10.0
2017-12-02,2017-12,2017,12,CAP D'AMBRE A MAHANORO,EST,3.3230699894622897e+36,0.6579161793011021,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,27,Tres forte,10.0
2017-12-02,2017-12,2017,12,MAHANORO AU CAP SAINTE MARIE,SUD-EST,3.9876839873547476e+36,1.355925888446035,9.969209968386869e+36,4.8838955122430895e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-12-02,2017-12,2017,12,TOAMASINA AU CAP SAINTE MARIE,EST-SUD,4.735374734983763e+36,1.3446645534114383,9.969209968386869e+36,4.978370328865151e+36,9.969209968386869e+36,40,Tres forte,10.0
2017-12-02,2017-12,2017,12,CAP D'AMBRE A BESALAMPY,NORD-OUEST,3.3230699894622897e+36,0.6579161793011021,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-12-02,2017-12,2017,12,BESALAMPY A MOROMBE,OUEST,4.43075998594972e+36,0.8257108303577638,9.969209968386869e+36,4.953740260284793e+36,9.969209968386869e+36,18,Tres forte,10.0
2017-12-02,2017-12,2017,12,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,1.2403778163810775,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
2017-12-02,2017-12,2017,12,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.6579161793011021,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-12-02,2017-12,2017,12,ANTALAHA A TOAMASINA,EST,2.4923024920967173e+36,1.4406199437513119,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,8,Tres forte,10.0
2017-12-02,2017-12,2017,12,TOAMASINA A MANANJARY,EST,4.153837486827862e+36,1.3446645534114383,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-12-02,2017-12,2017,12,MANANJARY A TAOLAGNARO,SUD-EST,4.153837486827862e+36,1.355925888446035,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-12-02,2017-12,2017,12,NOSY BE ET ENVIRONS,NORD-OUEST,0.8262424779622335,0.6579161793011021,0.9761143228857958,0.1147627602468483,1.399673608045153,4,Peu agitee,1.7
2018-01-02,2018-01,2018,1,CAP D'AMBRE A TOAMASINA,EST,2.4923024920967173e+36,1.4373682849544616,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,16,Tres forte,10.0
2018-01-02,2018-01,2018,1,CAP D'AMBRE A MAHANORO,EST,3.3230699894622897e+36,0.8291062614109606,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,27,Tres forte,10.0
2018-01-02,2018-01,2018,1,MAHANORO AU CAP SAINTE MARIE,SUD-EST,3.9876839873547476e+36,2.063575151951434,9.969209968386869e+36,4.8838955122430895e+36,9.969209968386869e+36,30,Tres forte,10.0
2018-01-02,2018-01,2018,1,TOAMASINA AU CAP SAINTE MARIE,EST-SUD,4.735374734983763e+36,2.063575151951434,9.969209968386869e+36,4.978370328865151e+36,9.969209968386869e+36,40,Tres forte,10.0
2018-01-02,2018-01,2018,1,CAP D'AMBRE A BESALAMPY,NORD-OUEST,3.6553769884085187e+36,0.8291062614109606,9.969209968386869e+36,4.804106554154232e+36,9.969209968386869e+36,30,Tres forte,10.0
2018-01-02,2018-01,2018,1,BESALAMPY A MOROMBE,OUEST,4.43075998594972e+36,0.6347781193469485,9.969209968386869e+36,4.953740260284793e+36,9.969209968386869e+36,18,Tres forte,10.0
2018-01-02,2018-01,2018,1,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,0.6591906694332051,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
2018-01-02,2018-01,2018,1,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.8291062614109606,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2018-01-02,2018-01,2018,1,ANTALAHA A TOAMASINA,EST,2.4923024920967173e+36,1.936831688852484,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,8,Tres forte,10.0
2018-01-02,2018-01,2018,1,TOAMASINA A MANANJARY,EST,4.153837486827862e+36,2.337272791868635,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2018-01-02,2018-01,2018,1,MANANJARY A TAOLAGNARO,SUD-EST,4.153837486827862e+36,2.063575151951434,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2018-01-02,2018-01,2018,1,NOSY BE ET ENVIRONS,NORD-OUEST,1.11473432395752,0.8291062614109606,1.2639320539001992,0.16925370481033153,2.1106710581559343,4,Peu agitee,2.2
