Date debut,Date fin,Thématique,Objets,District,Commune,Localite,Region,Types,Longitude,Latitude,Personne concerne,Mort,Colonne1,description,Commentaire,Date_debut_dt
10/12/2019,10/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/12/2019,11/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/12/2019,12/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/12/2019,13/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/12/2019,14/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/12/2019,15/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/12/2019,16/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/12/2019,17/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/12/2019,18/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/12/2019,19/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/12/2019,20/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/12/2019,21/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/12/2019,22/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/12/2019,23/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/12/2019,24/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/12/2019,25/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/12/2019,26/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/12/2019,27/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/12/2019,28/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/12/2019,29/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/12/2019,30/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/12/2019,31/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/01/2020,01/01/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/01/2020,02/01/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/01/2020,03/01/2020,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
